"","county","state","season","title","latitude","longitude","date","number","classification","temperature_high","temperature_mid","temperature_low","dew_point","humidity","cloud_cover","moon_phase","precip_intensity","precip_probability","precip_type","pressure","summary","conditions","uv_index","visibility","wind_bearing","wind_speed"
"96","Tuolumne County","California","Summer","Report 868: Campers have sighting above Pinecrest",38.17677,-119.9065,"6/1/1994",868,"Class A",70.1,65.1,57.8,32.2,29.9,0,0.75,NA,0,"",NA,"Clear conditions throughout the day.","Clear",NA,48.7,22.4,13.6
"97","Tuolumne County","California","Summer","Report 24574: Man remembers seeing an animal move through a ravine near Yosemite",38.33115,-119.7853,"8/13/1993",24574,"Class A",74.9,67.4,44.9,45.7,48,25.4,0.87,NA,0,"",NA,"Becoming cloudy in the afternoon.","Partially cloudy",NA,46.7,325.7,14.8
"98","Tuolumne County","California","Summer","Report 5509: Man hears late night howl in the Emigrant Wilderness",38.32417,-119.7519,"8/1/1994",5509,"Class B",80,72.4,50.1,39.5,31.9,12,0.82,NA,0,"",NA,"Clear conditions throughout the day.","Clear",NA,49.7,261.3,11.4
"99","Tuolumne County","California","Winter","Report 615: Sighting by woman in Eagle Meadow, above Strawberry",38.28085,-119.836,"11/15/1997",615,"Class A",39.3,34.3,24.9,23.5,65.9,95.4,0.54,NA,0,"",NA,"Cloudy skies throughout the day.","Overcast",NA,9.3,187.2,17.2
"100","Tuolumne County","California","Summer","Report 3672: Late night sighting by motorists travelling through Tioga Pass (Yosemite), a few miles beyond Crane Flat Campground",37.91111,-119.2569,"8/1/1998",3672,"Class A",0,NA,0,NA,NA,NA,0.3,NA,NA,"",NA,"","",NA,NA,NA,NA
"101","Tuolumne County","California","Summer","Report 1963: Hiker has strange late night experience in Emigrant Wilderness",38.31722,-119.7489,"8/27/1999",1963,"Class B",75.3,67.4,48.3,47.9,53.4,60.8,0.53,NA,0,"",1013.2,"Partly cloudy throughout the day.","Partially cloudy",NA,19.1,242.5,11.4
"102","Tuolumne County","California","Spring","Report 3072: BFRO Investigators detail activity around Twain Harte",38.05,-120.2667,"3/1/2001",3072,"Class B",60.2,49.8,35.9,38.5,68.1,15.9,0.23,0,0,"",1017.8,"Clear conditions throughout the day.","Clear",NA,7.4,54.3,11.6
"103","Tuolumne County","California","Spring","Report 3071: Man see large prints outside of Long Barn",38.07584,-120.1039,"4/22/2001",3071,"Class B",0,NA,0,NA,NA,NA,0.97,NA,NA,"",NA,"","",NA,NA,NA,NA
"104","Tuolumne County","California","Spring","Report 7299: Couple hear strange nighttime screams near Twain Harte",38.03305,-120.2636,"5/18/2001",7299,"Class B",92,75.7,57.8,48.4,40.8,0,0.86,0,0,"",1009.2,"Clear conditions throughout the day.","Clear",NA,9.9,313.5,19.7
"105","Tuolumne County","California","Fall","Report 4649: Women hear late night vocalizations at Sand Bar Flat Campground",38.18389,-120.1547,"9/1/2001",4649,"Class B",0,NA,0,NA,NA,NA,0.46,NA,NA,"",NA,"","",NA,NA,NA,NA
"106","Tuolumne County","California","Fall","Report 16448: Possible vocalizations awaken campers in Clark Fork Campground",38.3958,-119.801,"9/25/2001",16448,"Class B",65,55.1,44,31.1,42,39.5,0.28,0.13,100,"['rain']",1012.8,"Partly cloudy throughout the day with rain clearing later.","Rain, Partially cloudy",NA,9.4,197.9,33.3
"107","Tuolumne County","California","Summer","Report 4650: Campers find stacked rocks and hear unusual rock banging near Strawberry",38.24805,-119.9924,"7/4/2002",4650,"Class B",78.2,61.3,39.8,30.4,34.7,25.7,0.82,0,0,"",1014.3,"Partly cloudy throughout the day.","Partially cloudy",NA,9.9,191.1,16.1
"108","Tuolumne County","California","Fall","Report 25648: Possible nighttime encounter, food taken from hunters camping near Tuolumne",38.03917,-120.0459,"9/15/2003",25648,"Class B",0,NA,0,NA,NA,NA,0.67,NA,NA,"",NA,"","",NA,NA,NA,NA
"109","Tuolumne County","California","Winter","Report 10980: Man has late night sighting near Twain Harte",38.0312,-120.2434,"12/24/2003",10980,"Class A",56,53.6,51.2,50.4,89.4,96.3,0.05,0.437,100,"['rain']",1011.4,"Cloudy skies throughout the day with a chance of rain throughout the day.","Rain, Overcast",NA,7.2,136.2,20.8
"110","Tuolumne County","California","Summer","Report 15197: Possible vocalizations heard by mother and children at Lake Moran near Dorrington",38.23475,-120.1862,"7/3/2006",15197,"Class B",79.1,61.7,38.9,38.1,45.7,0,0.25,0,0,"",1020,"Clear conditions throughout the day.","Clear",NA,9.9,186.2,14.8
"111","Tuolumne County","California","Fall","Report 23974: Camping couple report possible vocalizations outside Long Barn around 6:30 AM",38.09832,-120.0397,"10/21/2006",23974,"Class B",0,NA,0,NA,NA,NA,0,NA,NA,"",NA,"","",NA,NA,NA,NA
"112","Tuolumne County","California","Fall","Report 16722: Possible vocalizations heard by resident near Twain Harte",38.015,-120.245,"11/19/2006",16722,"Class B",57.8,55,53,52.7,92.1,100,0.96,0,0,"",1020.7,"Cloudy skies throughout the day.","Overcast",NA,1,141.3,8.1
"113","Tuolumne County","California","Spring","Report 18403: Possible road-crossing sighting in daylight near Strawberry",38.20835,-120.0416,"3/25/2007",18403,"Class B",55.1,45.2,33.2,29.4,57.1,5,0.25,0,0,"",1017.9,"Clear conditions throughout the day.","Clear",NA,9.9,203.3,18.3
"114","Tuolumne County","California","Summer","Report 23424: Son and father hear possible sasquatch vocalizations in the Emigrant Wilderness",38.17625,-119.864,"8/23/2007",23424,"Class B",0,NA,0,NA,NA,NA,0.35,NA,NA,"",NA,"","",NA,NA,NA,NA
"115","Tuolumne County","California","Summer","Report 65978: Road crossing sighting just after sundown on Hwy 108 between Strawberry and Beardsley Lake",38.21877,-120.0124,"6/15/2008",65978,"Class A",73.1,62.6,51.5,34.6,37.6,0,0.4,0,0,"",1017.2,"Clear conditions throughout the day.","Clear",NA,9.9,189,8.1
"116","Tuolumne County","California","Summer","Report 24277: Campers hear strange vocalizations for over an hour while camping outside Dorrington",38.375,-120.125,"8/5/2008",24277,"Class B",78.2,67.3,58.3,39,36.5,38.9,0.14,0,0,"",1017.5,"Partly cloudy throughout the day.","Partially cloudy",NA,9.9,27.1,7.5
"117","Ventura County","California","Summer","Report 24648: Man retells his close, visual encounter at dawn on Pine Mountain as a young deer hunter",34.625,-119.2916,"9/14/2008",24648,"Class A",74.7,67,62.2,49.3,54,43.2,0.48,0,0,"",1014.2,"Partly cloudy throughout the day.","Partially cloudy",NA,8.3,284.5,13.7
"118","Placer County","California","Spring","Report 3612: Two fishermen have truck shaken early one morning, outside of Auburn",38.90222,-121.0803,"4/1/1978",3612,"Class B",54.6,50.7,47.6,44.4,79.7,94.4,0.79,0.117,100,"['rain']",1010.9,"Cloudy skies throughout the day with rain.","Rain, Overcast",NA,14.7,179.2,17.3
"119","Nevada County","California","Fall","Report 4946: Teenager has daytime sighting near Truckee",39.3225,-120.2653,"10/1/1956",4946,"Class A",54.6,50.7,47.6,44.4,79.7,94.4,0.79,0.117,100,"['rain']",1010.9,"Cloudy skies throughout the day with rain.","Rain, Overcast",NA,14.7,179.2,17.3
"120","Monterey County","California","Spring","Report 12247: Two teenage girls have daytime encounter on Big Sur Coast",35.5565,-121.2919,"4/15/1974",12247,"Class A",75.8,54.6,37.1,40.8,66.5,5.2,0.79,0,0,"",1016.9,"Clear conditions throughout the day.","Clear",NA,17.5,286.2,11.4
"121","Mono County","California","Fall","Report 10718: Campers hear a vocalization near Tenaya Lake",37.83074,-119.4626,"9/1/1976",10718,"Class B",0,NA,0,NA,NA,NA,0.26,NA,NA,"",NA,"","",NA,NA,NA,NA
"122","Modoc County","California","Summer","Report 875: Man has sighting near Alturas",41.41,-120.6781,"6/1/1974",875,"Class A",84.8,73.2,53,37.8,29,15,0.39,NA,0,"",1015.9,"Clear conditions throughout the day.","Clear",NA,14.9,316.5,13.6
"123","Madera County","California","Fall","Report 83: Early dawn sighting by hunters near Bass Lake",37.35944,-119.6436,"10/1/1988",83,"Class A",97.1,77,57.8,49.1,41.9,0,0.7,0,0,"",1013,"Clear conditions throughout the day.","Clear",NA,11.3,317.7,10.3
"124","Lake County","California","Summer","Report 9648: Hunters have strange experiences and make an unusual discovery.",38.75,-122.7,"8/13/2002",9648,"Class B",80.1,61.4,53,53.1,77.4,49.7,0.18,0,0,"",1011.3,"Clearing in the afternoon.","Partially cloudy",NA,5.9,178,13.1
"125","Kern County","California","Winter","Report 13096: Possible nighttime road crossing sighting by motorist near Lamont.",35.2673,-118.9591,"2/1/1980",13096,"Class B",49,47,42.1,44.9,92.4,41.7,0.52,0,0,"",1025.3,"Partly cloudy throughout the day.","Partially cloudy",NA,1.4,114,10.3
"126","Inyo County","California","Summer","Report 8487: Hiking boy has close encounter in High Sierra",37.5703,-118.972,"9/15/1972",8487,"Class A",87.2,67.1,47.9,21.9,15.8,0,0.25,NA,0,"",1014.5,"Clear conditions throughout the day.","Clear",NA,65.6,177.5,13.9
"127","Inyo County","California","Spring","Report 21684: Man describes childhood incident, a possible approach at Seven Lakes",37.15889,-118.3743,"5/16/1980",21684,"Class B",83.9,68,43.1,33.7,28.7,30,0.07,0,0,"",1009.5,"Becoming cloudy in the afternoon.","Partially cloudy",NA,69.6,349.3,19.7
"128","Inyo County","California","Summer","Report 67480: Camper's encounter with a Bigfoot outside tent in North Lake Campground near Bishop",37.22716,-118.6271,"7/15/1991",67480,"Class A",92.9,74.2,52.1,32.4,18.7,5.5,0.13,0,0,"",1010.8,"Clear conditions throughout the day.","Clear",NA,46.6,179.7,24.2
"129","Inyo County","California","Winter","Report 25266: Two men recall a nighttime face to face encounter on lonely Hwy. 395",36.79165,-118.125,"1/12/2009",25266,"Class A",66.8,49.3,30.8,21.8,35.8,0,0.56,0,0,"",1031.6,"Clear conditions throughout the day.","Clear",NA,9.9,337.3,17.2
"130","Inyo County","California","Fall","Report 62169: Couple experience large rock thrown and possible bluff charge in Inyo National Forest",37.17004,-118.5391,"11/10/2018",62169,"Class B",62.1,39.4,17,-1.7,20.1,10,0.1,0,0,"",1017.5,"Clear conditions throughout the day.","Clear",6,9.9,310.3,16.9
"131","Kern County","California","Summer","Report 1036: Camper experiences unusual early morning scream near Kernville",35.75472,-118.4244,"8/1/1994",1036,"Class B",98,81.1,62,50.1,37.4,9.8,0.82,0,0,"",1012.5,"Clear conditions throughout the day.","Clear",NA,11.2,261.6,10
"132","Kern County","California","Fall","Report 5251: Hunters hear, and possibly see, a strange creature near Lake Isabella",35.56805,-118.6078,"10/26/2002",5251,"Class B",66.8,60.6,54.4,46.1,59.5,15.2,0.69,0,0,"",1010.9,"Clear conditions throughout the day.","Clear",NA,6.1,206.4,7.4
"133","Kern County","California","Fall","Report 5294: Forest Service employees see big footprints near Lake Isabella",35.51222,-118.3356,"10/27/2002",5294,"Class B",72.2,59.1,47.1,41.4,55.2,10.6,0.72,0,0,"",1014.2,"Clear conditions throughout the day.","Clear",NA,14,225.8,10.5
"134","Kern County","California","Summer","Report 6854: Deer hunter finds possible footprints on Mt. Breckenridge",35.44986,-118.5821,"9/7/2003",6854,"Class B",91,76.3,63.2,56.9,53.5,0.9,0.4,0,0,"",1012.3,"Clear conditions throughout the day.","Clear",NA,10.2,280.6,14.8
"135","Kern County","California","Fall","Report 22598: Possible vocalizations heard outside Inyokern",35.7,-117.9667,"1/7/2008",22598,"Class B",50,39.4,31.2,34.2,82.8,45.3,0.98,0.083,100,"['rain', 'snow']",1015,"Partly cloudy throughout the day with rain or snow clearing later.","Snow, Rain, Partially cloudy",NA,11.3,234.6,8.7
"136","Kern County","California","Spring","Report 25492: Young man and his Aunt & Uncle observe large tracks just below their horse pasture in Tehachapi (w/photos)",35.17748,-118.625,"2/26/2009",25492,"Class B",59.8,50.5,42.9,39.1,65.8,19.7,0.06,0,0,"",1019.8,"Clear conditions throughout the day.","Clear",NA,9.6,308.5,22
"137","Kern County","California","Winter","Report 27844: Two young men hiking outside Tehachapi come across possible tracks",35.12931,-118.3302,"6/10/2010",27844,"Class B",62.4,55.7,45.8,39,55.3,17,0.95,0,0,"",1009.3,"Clear conditions throughout the day.","Clear",NA,9.5,287.3,29.1
"138","Lassen County","California","Spring","Report 15039: Possible vocalizations heard by resident near Lassen National Forest",40.43298,-120.7413,"7/12/2005",15039,"Class B",0,NA,0,NA,NA,NA,0.21,NA,NA,"",NA,"","",NA,NA,NA,NA
"139","Lassen County","California","Summer","Report 74829: RECENT: Campers hear bigfoot-like howls 11 miles west of Susanville",40.37411,-120.8336,"8/12/2022",74829,"Class B",89.7,70.1,48.3,30.7,27,0,0.52,0,0,"",1013,"Clear conditions throughout the day.","Clear",10,9.9,260.9,17.2
"140","Los Angeles County","California","Fall","Report 15013: Possible growling at hikers near the San Gabriel Wilderness",34.2802,-117.8333,"7/10/2006",15013,"Class B",92.2,78.6,65.8,54.2,45,7.8,0.5,0,0,"",1009.2,"Clear conditions throughout the day.","Clear",NA,8.4,245.6,17.1
"141","Los Angeles County","California","Spring","Report 14953: Possible intimidation in the late afternoon reported by hikers in the Big Tujunga Canyon area.",34.25,-118.225,"7/30/2006",14953,"Class B",80.1,74.1,69.8,64,71.5,90.5,0.18,0,0,"",1012.8,"Cloudy skies throughout the day.","Overcast",NA,9.9,181.1,10.6
"142","Los Angeles County","California","Summer","Report 21674: Man describes incident in teen years: Daylight encounter by two young men in the Green Valley area",34.6167,-118.4333,"10/10/2007",21674,"Class A",70.7,60.8,53.1,28.6,32.8,0.4,0,0,0,"",1014.3,"Clear conditions throughout the day.","Clear",NA,9.9,249.6,22
"143","Los Angeles County","California","Unknown","Report 27177: Man remembers sighting while driving on a lonely dark two-lane road near Gorman",34.76666,-118.5834,"1/22/2010",27177,"Class A",36.5,32.6,30.9,31.3,95,84,0.25,0.09,100,"['rain', 'snow']",995.9,"Partly cloudy throughout the day with a chance of rain or snow throughout the day.","Snow, Rain, Partially cloudy",NA,2.4,209.2,15.6
"144","Los Angeles County","California","Winter","Report 27687: Possible tracks found in snow and mud on family property many years ago near Lake Hughes",34.66363,-118.4538,"5/7/2010",27687,"Class B",76.5,60.8,43.8,24,28.1,0,0.8,0,0,"",1015.1,"Clear conditions throughout the day.","Clear",NA,9.9,330,20.1
"145","Mariposa County","California","Spring","Report 13287: Possible BF-related incidents around a home near Guadalupe Pass",37.4583,-120.0833,"4/15/1971",13287,"Class B",65,65,65,50.1,58.4,10,0.67,NA,0,"",NA,"Clear conditions throughout the day.","Clear",NA,NA,90,2.2
"146","Mariposa County","California","Summer","Report 4947: Man sees unusual stacked rocks in Yosemite",37.69639,-119.4275,"8/1/1992",4947,"Class B",86.1,77.5,57.8,31.9,19.8,21,0.1,NA,0,"",NA,"Partly cloudy throughout the day.","Partially cloudy",NA,47.7,137.3,14.8
"147","Mendocino County","California","Summer","Report 8059: Teenagers have sighting of two creatures near Albion",39.22361,-123.7675,"9/1/1966",8059,"Class A",86.1,77.5,57.8,31.9,19.8,21,0.1,NA,0,"",NA,"Partly cloudy throughout the day.","Partially cloudy",NA,47.7,137.3,14.8
"148","Mendocino County","California","Summer","Report 7860: Hunter has daytime sighting near Dos Rios",39.68833,-123.4817,"9/1/1974",7860,"Class A",91.1,70.8,55.1,49.6,53.1,13.5,0.5,0,0,"",1010,"Clear conditions throughout the day.","Clear",NA,23.1,167.6,14.8
"149","Mendocino County","California","Summer","Report 4886: Two men hear afternoon vocalization near Fort Bragg",39.44583,-123.8042,"7/1/1985",4886,"Class B",61.7,55,50.2,47.4,71.2,58.8,0.47,0,0,"",1019.4,"Partly cloudy throughout the day.","Partially cloudy",NA,29.8,343.6,7.5
"150","Mendocino County","California","Summer","Report 6521: Woman hears late night scream and has close encounter near Laytonville",39.68833,-123.4817,"6/1/1987",6521,"Class A",88.1,64.8,51.3,50.3,51.8,0,0.17,0,0,"",1016.8,"Clear conditions throughout the day.","Clear",NA,46.6,339.2,24.6
"151","Mendocino County","California","Winter","Report 10279: Family hears unusual calls",39.25,-123.15,"1/16/2004",10279,"Class B",53.6,50.1,46.9,45.4,84.7,95,0.82,0,0,"",1017.2,"Cloudy skies throughout the day.","Overcast",NA,9.8,300.3,8.4
"152","Mendocino County","California","Spring","Report 8735: Hikers Find Multiple Tracks Near Covelo",39.83,-123.115,"5/22/2004",8735,"Class B",66.3,57.4,53.7,46.6,68.1,76.1,0.12,0,0,"",1015.7,"Partly cloudy throughout the day.","Partially cloudy",NA,9.9,306.5,12.8
"153","Mendocino County","California","Fall","Report 15782: Possible intimidation/interaction heard by couple on two occasions in route to Fort Bragg",39.06583,-123.4439,"9/16/2005",15782,"Class B",75.8,60.3,47.9,48.4,68.2,43.3,0.45,0,0,"",1016.4,"Clearing in the afternoon.","Partially cloudy",NA,8.5,302.4,16.1
"154","Mendocino County","California","Winter","Report 22500: Paranormal investigator describes encounter near Covelo",39.83929,-123.2393,"12/15/2007",22500,"Class A",52.1,42.2,35.9,37.5,83.8,77.5,0.21,0,0,"",1024.6,"Partly cloudy throughout the day.","Partially cloudy",NA,9.6,310.7,4.7
"155","Mendocino County","California","Summer","Report 24146: Man Has Face to Face Encounter Outside of Willits",39.51489,-123.3899,"7/8/2008",24146,"Class A",73.2,62.6,57.4,51.9,66.1,0,0.19,0,0,"",1007.4,"Clear conditions throughout the day.","Clear",NA,8.2,3.4,5.9
"156","Modoc County","California","Winter","Report 97: Hunter sees footprints near Alturas",41.72278,-120.3292,"10/1/1992",97,"Class B",77.3,57.1,35.9,32.1,43.5,12.3,0.17,NA,0,"",1013,"Clear conditions throughout the day.","Clear",NA,9.4,205.5,26.4
"157","Modoc County","California","Spring","Report 2255: Woman hears late night howl near Alturas",41.48722,-120.5414,"3/30/2001",2255,"Class B",60.9,44.3,23.1,29.3,61.7,1.3,0.21,NA,0,"",1019.9,"Clear conditions throughout the day.","Clear",NA,9.6,328.2,11.4
"158","Mono County","California","Summer","Report 1510: Brothers have early evening sighting near Lee Vining",38.04806,-119.2642,"7/1/1977",1510,"Class A",0,NA,0,NA,NA,NA,0.52,NA,NA,"",NA,"","",NA,NA,NA,NA
"159","Mono County","California","Summer","Report 13613: Hikers find footprints, hear sounds, etc., near Leavitt Meadows",38.29165,-119.54,"8/1/1980",13613,"Class B",82.1,71.1,47.9,43.5,42.5,15,0.68,NA,0,"",NA,"Clear conditions throughout the day.","Clear",NA,28.6,230.1,11.4
"160","Mono County","California","Spring","Report 2942: Brothers hear late night howl in Mammoth Lakes",37.65028,-118.9592,"5/1/2001",2942,"Class B",91.1,67.9,43.1,23,23.2,0,0.29,0,0,"",1010.1,"Clear conditions throughout the day.","Clear",NA,9.9,320.9,18.1
"161","Mono County","California","Spring","Report 3105: Campers hear late night scream near Mammoth Lakes",37.78861,-119.0736,"5/3/2001",3105,"Class B",66.8,51.6,35.9,10.7,21.3,0,0.36,0,0,"",1019.5,"Clear conditions throughout the day.","Clear",NA,9.9,342.3,26.4
"162","Mono County","California","Summer","Report 12383: Hiking family has daytime encounter in Sierra",38.3068,-119.5483,"8/21/2005",12383,"Class A",80,60.7,39.8,39.9,53,1.3,0.57,0,0,"",1019.7,"Clear conditions throughout the day.","Clear",NA,9.9,190.9,13.9
"163","Mono County","California","Spring","Report 15855: Daylight sighting by motorist near Laurel Canyon in the Mammoth Lakes area",37.58325,-118.9166,"6/17/2006",15855,"Class A",98,76.3,48.8,30.3,23.2,0,0.72,0,0,"",1012.6,"Clear conditions throughout the day.","Clear",NA,9.9,325.5,14.8
"164","Mono County","California","Summer","Report 20594: Campers hear possible whoop-howls near Yosemite (Sawmill campground)",37.90613,-119.2481,"7/27/2007",20594,"Class B",84.3,84.3,84.3,44.7,25,50,0.43,0,0,"",NA,"Partly cloudy throughout the day.","Partially cloudy",NA,9.9,310,18.3
"165","Mono County","California","Summer","Report 20306: Young man claims possible sighting at night near Lake Mary, outside Mammoth",37.5999,-119,"9/25/2007",20306,"Class B",75.8,57.9,38.9,28.1,36,0,0.47,0,0,"",1018.6,"Clear conditions throughout the day.","Clear",NA,9.9,255,11.4
"166","Mono County","California","Summer","Report 23319: Father and son come across two sets of tracks while hunting near Benton.",37.76666,-118.5333,"3/26/2008",23319,"Class B",73.1,59,47,19.9,23.9,0,0.66,0,0,"",1012.6,"Clear conditions throughout the day.","Clear",NA,9.9,1.4,25.3
"167","Mono County","California","Spring","Report 23768: Brief, blurry video footage of a possible sasquatch at Mono Lake",37.9333,-119,"7/9/2008",23768,"Class A",87.2,80.2,74.4,NA,NA,0,0.25,0,0,"",NA,"Clear conditions throughout the day.","Clear",NA,NA,NA,0
"168","Mono County","California","Fall","Report 24743: Camper has a possible close encounter west of Mono Lake",38.04165,-119.2167,"9/23/2008",24743,"Class B",69,61.4,52.1,NA,NA,0,0.8,0,0,"",NA,"Clear conditions throughout the day.","Clear",NA,NA,NA,0
"169","Mono County","California","Summer","Report 27966: Possible howl heard by three family members while on vacation at June Lake",37.79337,-119.118,"7/31/2010",27966,"Class B",81.9,65.9,45,34.3,35.4,0.2,0.69,0,0,"",1010.2,"Clear conditions throughout the day.","Clear",NA,9.9,261.2,22.6
"170","Mono County","California","Fall","Report 49896: Possible encounter at night by hunters camping at Virginia Lakes",38.04679,-119.2654,"10/2/2015",49896,"Class B",63.4,47.9,35.3,31,56.4,23.9,0.66,0,0,"",1018.2,"Clearing in the afternoon.","Partially cloudy",NA,9.9,17.8,11.7
"171","Mono County","California","Summer","Report 65849: Possible sighting at Mono Lake at Sunrise",37.97761,-119.1291,"7/28/2020",65849,"Class B",88.1,69.9,49.5,36,33.7,0.8,0.29,0,0,"",1013.3,"Clear conditions throughout the day.","Clear",10,9.8,283,14
"172","Monterey County","California","Summer","Report 12292: Daylight sighting by hikers in Ventana Wilderness",36.3779,-121.7146,"6/15/1986",12292,"Class A",67.1,60.3,55.1,50.7,72.3,29.5,0.25,NA,0,"",1015.5,"Partly cloudy throughout the day.","Partially cloudy",NA,23.3,289.4,15.5
"173","Monterey County","California","Spring","Report 7334: Daytime sightings by Forest Service employee near Arroyo Seco",36.2485,-121.495,"4/1/1993",7334,"Class A",61.6,54.9,47.9,47.5,77.4,58.5,0.33,NA,0,"",1018.3,"Partly cloudy throughout the day.","Partially cloudy",NA,17.9,313.7,14.1
"174","Nevada County","California","Spring","Report 3421: Family has unusual experience outside Grass Valley",39.21278,-120.8908,"6/1/1978",3421,"Class A",68.2,59.3,48,35.2,41.3,11.3,0.86,0,0,"",1006,"Clear conditions throughout the day.","Clear",NA,16.6,220.1,9.2
"175","Nevada County","California","Summer","Report 3424: Couple see large footprint near Emigrant Gap",39.30056,-120.6672,"8/1/1984",3424,"Class B",75.9,67.9,57.9,40.5,37.3,12.7,0.15,0,0,"",1009.8,"Clear conditions throughout the day.","Clear",NA,20.1,188.7,13.8
"176","Nevada County","California","Summer","Report 16550: Solo camper's late night encounter outside Truckee",39.41546,-120.4187,"8/1/1986",16550,"Class B",85.2,72.9,62.6,42.6,35.4,28.6,0.87,0,0,"",1012.4,"Partly cloudy throughout the day.","Partially cloudy",NA,25.9,249.4,11.3
"177","Nevada County","California","Fall","Report 12649: Man recalls daytime sighting in a canyon outside Nevada City",39.25396,-121.0517,"9/15/1987",12649,"Class A",75.2,63.7,54,42.2,46.1,10,0.76,0,0,"",1016.1,"Clear conditions throughout the day.","Clear",NA,7.7,268.8,7.2
"178","Nevada County","California","Fall","Report 14407: Daylight sighting by camper 7-8 northwest of Independence Lake",39.50435,-120.3784,"9/5/1993",14407,"Class A",78.2,66.6,53.4,40.7,39.4,49.1,0.66,0,0,"",1009.9,"Partly cloudy throughout the day.","Partially cloudy",NA,18.9,247.7,15
"179","Nevada County","California","Summer","Report 4885: Chicken pens being raided by unknown thief near Nevada City",39.26167,-121.015,"8/1/2002",4885,"Class B",77.1,70.5,65,47.9,45,0,0.75,0,0,"",1012.1,"Clear conditions throughout the day.","Clear",NA,9.9,216.6,10.3
"180","Nevada County","California","Winter","Report 8026: Child has daytime sighting near Grass Valley",39.21667,-120.8983,"12/2/2003",8026,"Class B",55.5,43.2,37.5,39.2,86.7,38.8,0.3,0.386,100,"['rain']",1025.9,"Partly cloudy throughout the day with early morning rain.","Rain, Partially cloudy",NA,8.3,168.7,13.9
"181","Nevada County","California","Winter","Report 7804: Family has two late night sightings near Nevada City",39.26361,-121.0161,"1/4/2004",7804,"Class A",48.3,25.5,19.4,16.3,68.2,10.6,0.41,0,0,"",1027.3,"Clear conditions throughout the day.","Clear",NA,9.8,41.9,8.4
"182","Nevada County","California","Summer","Report 9555: Retired Law Enforcement Officer Has Daytime Sighting",39.31917,-120.3275,"8/16/2004",9555,"Class A",75,68,60.3,44.4,43.9,33.6,0.03,0.003,100,"['rain']",1015.5,"Becoming cloudy in the afternoon with morning rain.","Rain, Partially cloudy",NA,9.9,202.5,8.1
"183","Nevada County","California","Summer","Report 15174: Campers report possible approach in Malakoff Historical State Park",39.374,-120.914,"7/8/2006",15174,"Class B",85.1,76.5,69.3,41.6,29,0,0.42,0,0,"",1014,"Clear conditions throughout the day.","Clear",NA,9.9,279.2,7.3
"184","Placer County","California","Fall","Report 2326: A camper hears strange late night howls near Foresthill",39.02028,-120.8169,"9/7/1998",2326,"Class B",80.5,73.6,67.2,53.5,49.7,17.8,0.55,0,0,"",1009.1,"Clear conditions throughout the day.","Clear",NA,9.9,197.2,9
"185","Placer County","California","Summer","Report 502: Three people report screams near Foresthill",39.01917,-120.8275,"6/17/2000",502,"Class B",77.1,69.2,62,40.3,37.2,0,0.53,0,0,"",1004.6,"Clear conditions throughout the day.","Clear",NA,9.9,88.9,16.1
"186","Placer County","California","Fall","Report 7331: Fisherman hears late night scream near French Meadows Reservoir",39.11167,-120.4683,"10/14/2003",7331,"Class B",68.3,54.9,41.7,23.6,31.3,1,0.65,0,0,"",1016.3,"Clear conditions throughout the day.","Clear",NA,9.9,187.3,10.1
"187","Placer County","California","Fall","Report 21808: Possible sighting by family walking their dog near Auburn",38.95285,-121.0479,"9/30/2007",21808,"Class B",73,58.7,44.1,36,45.9,5.4,0.64,0,0,"",1015.4,"Clear conditions throughout the day.","Clear",NA,9.9,167.7,13.3
"188","Plumas County","California","Unknown","Report 65862: Night time sighting by motorist in Feather River Canyon near Hwy 70 & 89 intersection.",40.03728,-120.9851,"8/15/1992",65862,"Class A",89,81.7,68.1,51.9,38.6,70,0.58,NA,0,"",NA,"Partly cloudy throughout the day.","Partially cloudy",NA,29.8,300,5.6
"189","Plumas County","California","Summer","Report 65566: Stalking of Forest Service worker on Pacific Crest Trail outside Quincy",39.80825,-121.0456,"8/15/1995",65566,"Class B",75.8,68.2,62.9,45.9,45.3,NA,0.66,0,0,"",1007.2,"Partly cloudy throughout the day.","Clear",NA,9.4,211.3,10.3
"190","Plumas County","California","Summer","Report 2037: Man has interesting experiences outside of La Porte",39.94278,-121.0158,"7/1/1997",2037,"Class B",62.7,53.6,42.9,32.2,45.5,0,0.89,0,0,"",1017,"Clear conditions throughout the day.","Clear",NA,9.9,82.7,11.4
"191","Riverside County","California","Summer","Report 5253: Backpackers report screams and camp stalking near Dutchman's Flats outside Idyllwild",33.7655,-116.7078,"12/1/2002",5253,"Class B",69.8,58.3,47.2,43.6,60,11.2,0.91,0,0,"",1019.4,"Clear conditions throughout the day.","Clear",NA,9.7,327.9,7
"192","Riverside County","California","Spring","Report 26152: Backpackers hear whoops and tree push over SE of Round Valley in the Mt. San Jacinto Wilderness Area",33.81678,-116.6329,"6/5/2004",26152,"Class B",109.5,94.5,78.9,62.3,37.8,0,0.59,0,0,"",1005.3,"Clear conditions throughout the day.","Clear",NA,9.9,319.5,20.8
"193","Riverside County","California","Fall","Report 24137: Young couple encounter something large on Lake Hemet",33.66675,-116.7,"7/17/2008",24137,"Class B",105.8,92.2,80,56.3,31.5,12,0.48,0,0,"",1008.1,"Clear conditions throughout the day.","Clear",NA,9.9,315.3,15.4
