county,state,season,title,latitude,longitude,date,number,classification,geohash,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,precip_type,pressure,summary,conditions,uv_index,visibility,wind_bearing,wind_speed
Lorain County,Ohio,Summer,"Report 7830: Two teenagers witness something running from a pack of dogs on two legs, screaming very loud. The next day large five toed tracks are found",41.38274,-82.12263,7/1/1967,7830,Class B,dpme7m2puj,29,26,23.1,21.6,83.4,99.6,0.56,0.007,100,['snow'],1021.1,Cloudy skies throughout the day with early morning snow.,"Snow, Overcast",,6.6,225.8,16.7
Lorain County,Ohio,Summer,"Report 49813: Woman remembers being shocked to see a running, hairy biped in her backyard in Elyria",41.40985,-82.11172,8/15/1985,49813,Class A,dpmeed2jf5,82.9,73.4,67,68.3,84.9,94.1,0.98,0.657,100,['rain'],1014.3,Cloudy skies throughout the day with rain.,"Rain, Overcast",,5.8,231.5,17.2
Lorain County,Ohio,Fall,Report 4957: Hunter has dusk sighting in Oberlin area,41.27939,-82.21939,10/15/1987,4957,Class B,dpmdc49tvk,67.7,52,40.2,38.2,63.1,34.7,0.77,0,0,,1025.6,Partly cloudy throughout the day.,Partially cloudy,,16.2,196.9,9.6
Mahoning County,Ohio,Summer,Report 23125: Large creature dragging a dead animal crosses road south of North Jackson,41.05304,-80.51186,7/1/1998,23125,Class A,dpq9xcmp39,76,67.6,60,56.9,72.1,50.3,0.25,0,0,,1010.1,Partly cloudy throughout the day.,Partially cloudy,,8.7,299.4,17.9
Mahoning County,Ohio,Fall,Report 26709: Young man recalls encounter behind his house and close to the Meander Creek Reservoir,41.09087,-80.77592,9/30/2001,26709,Class A,dpq9cbkg8t,65.9,52.1,39.8,40.8,68.8,8.6,0.44,0,0,,1024.5,Clear conditions throughout the day.,Clear,,9.9,14.1,13.5
Mahoning County,Ohio,Spring,Report 25724: Possible sighting at dusk on family property outside Youngstown,41.12884,-80.85832,4/1/2006,25724,Class B,dpq9bp2bbe,59.7,51.1,43,44.2,77.4,99.8,0.11,0.046,100,['rain'],1013.1,Cloudy skies throughout the day with early morning rain.,"Rain, Overcast",,8.7,263.6,19.9
Mahoning County,Ohio,Summer,Report 27613: Woman recounts nighttime sighting of a small bigfoot outside her home near Beloit,40.95818,-80.97507,8/12/2009,27613,Class A,dpq3j25y8n,80.2,71.2,64.9,62.6,76.2,51.8,0.73,0.001,100,['rain'],1016.6,Partly cloudy throughout the day with morning rain.,"Rain, Partially cloudy",,7.7,355,10
Mahoning County,Ohio,Spring,Report 40715: Possible daylight sighting by a passenger traveling along I-80 over the Meander Creek Reservoir,41.11447,-80.14099,3/24/2012,40715,Class B,dpr1bkej5s,64.2,60.7,56.4,57,88.1,85,0.07,0.507,100,['rain'],1012.5,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",3,8.3,117.4,8.3
Mahoning County,Ohio,Fall,Report 58702: Coyote hunter's possible encounter with white furred juvenile.,40.94825,-80.69776,11/12/2013,58702,Class A,dpq8gwmsvg,31.6,28.7,26.4,23.9,82.5,77.9,0.33,0.097,100,"['rain', 'snow']",1029.7,Partly cloudy throughout the day with a chance of rain or snow throughout the day.,"Snow, Rain, Partially cloudy",,6.6,330.7,13.8
Mahoning County,Ohio,Summer,Report 69469: Couple returning home spots a bigfoot crossing their driveway outside Columbiana,40.91197,-80.70913,7/17/2021,69469,Class B,dpq8erv3kz,74.8,69,63,66.7,92.4,92.7,0.25,0.821,100,['rain'],1017.2,Cloudy skies throughout the day with a chance of rain throughout the day.,"Rain, Overcast",4,8.2,302.5,13.9
Medina County,Ohio,Fall,Report 4960: Sighting by motorists along Poe Rd,41.09302,-81.82391,9/30/1978,4960,Class B,dpmcf0c8hw,78.1,62.7,53.4,53.8,74.1,49,0.95,1.036,100,['rain'],1016.7,Partly cloudy throughout the day with late afternoon rain.,"Rain, Partially cloudy",,4.9,190.9,19.2
Medina County,Ohio,Fall,Report 10729: Driver encounters an unknown hairy biped just outside of Medina.,41.12012,-81.81317,9/20/1992,10729,Class A,dpmcfm9qnc,71,58.4,47,47.3,69.1,45.4,0.8,0,0,,1017.6,Becoming cloudy in the afternoon.,Partially cloudy,,17.3,138,11.1
Medina County,Ohio,Fall,Report 8778: A possible sighting of the River Styx monster crossing a small clearing,41.06019,-81.79669,10/1/2000,8778,Class A,dpmcddv2yy,71.9,61.4,52.7,52.9,75.1,55.8,0.12,0,0,,1018.1,Partly cloudy throughout the day.,Partially cloudy,,8.3,179,14.7
Medina County,Ohio,Fall,Report 7973: A young teen sees a hairy creature on the family farm while riding his bike.,41.06648,-81.96419,9/25/2001,7973,Class A,dpm9wggmxf,49.6,45.5,43.3,42.4,89,99.6,0.27,0.54,100,['rain'],1014.7,Cloudy skies throughout the day with a chance of rain throughout the day.,"Rain, Overcast",,8.9,261.9,14.5
Medina County,Ohio,Spring,Report 6330: A man standing on his back porch watches a large hair covered creature run down the railroad tracks and jump down into the brush,41.03,-82.0101,5/1/2003,6330,Class A,dpm9mv6144,79.8,68.1,58.2,59.3,75.9,50.9,0,0.192,100,['rain'],1010.2,Becoming cloudy in the afternoon with late afternoon rain.,"Rain, Partially cloudy",,6.9,211.9,19.7
Medina County,Ohio,Spring,Report 42022: Possible nighttime encounter near Spencer leaves three men startled,41.11417,-82.07824,4/13/2013,42022,Class B,dpm9uk87qk,43.6,40.3,36.2,32.8,74.3,95.7,0.11,0.019,100,['rain'],1013.5,Cloudy skies throughout the day with afternoon rain.,"Rain, Overcast",,9.8,254.8,18.3
Medina County,Ohio,Summer,Report 41774: Woman is startled after seeing a face with yellow eyes peering into her kitchen window near Valley City,41.22248,-81.91616,6/25/2013,41774,Class B,dpmdxbq6r5,87.8,77.9,70.6,66.8,69.3,62.4,0.57,2.026,100,['rain'],1013.8,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,8.9,237.5,21.7
Medina County,Ohio,Summer,"Report 69588: Long, loud whoops heard at 2:30AM heard on southern outskirts of Wadsworth",40.9994,-81.71439,8/14/2021,69588,Class B,dpmchx9qud,79.9,72.9,62.9,61.9,70.6,54.1,0.22,0.124,100,['rain'],1021.5,Partly cloudy throughout the day with early morning rain.,"Rain, Partially cloudy",8,9.6,351.1,12.5
Miami County,Ohio,Fall,"Report 7718: Four teens camping hear grunting or snorting, observe creature walk from corn field into the woods",39.89172,-84.14493,9/3/2003,7718,Class A,dph4vnpd15,77.6,70.6,66.5,65.5,85.3,74.1,0.25,0,0,,1015.6,Partly cloudy throughout the day.,Partially cloudy,,6.5,264.1,10
Miami County,Ohio,Winter,Report 33979: Witness has numerous encounters and collects physical evidence over a seven month period near Christianburg,40.04342,-84.04518,2/6/2009,33979,Class A,dph5z98jv6,42.5,30.1,18.2,17.4,59.1,7.1,0.4,0,0,,1024.6,Clear conditions throughout the day.,Clear,,9.9,182.8,10
Miami County,Ohio,Summer,,,,,57659,Class A,,,,,,,,,,,,,,,,,,
Montgomery County,Ohio,Summer,Report 9766: Motorist has a brief daylight sighting at the edge of Huber Heights,39.8494,-84.15971,8/15/2004,9766,Class B,dph4sykg8d,74,62.4,51.2,53.2,74.9,40.8,0,0,0,,1025.3,Partly cloudy throughout the day.,Partially cloudy,,7.9,325.7,12.4
Montgomery County,Ohio,Winter,Report 26369: Late night sighting by motorists north of Germantown,39.63662,-84.36874,2/15/2005,26369,Class A,dph12pss1c,64.1,50.6,37.5,39.6,69.3,25.5,0.25,0,0,,1015.1,Partly cloudy throughout the day.,Partially cloudy,,9.2,196.4,18
Montgomery County,Ohio,Summer,,,,,41676,Class B,,,,,,,,,,,,,,,,,,
Morrow County,Ohio,Winter,"Report 3293: Three fox hunters witness a ""Freak of nature bear"" step over a fence and walk into a thicket.",40.4764,-82.80257,1/1/1978,3293,Class A,dpjn7b9007,36.6,32.6,29.5,27.1,80.2,99.4,0.75,0.138,100,"['rain', 'snow']",1012.9,Cloudy skies throughout the day with rain or snow in the morning and afternoon.,"Snow, Rain, Overcast",,5.1,252.6,22.1
Morrow County,Ohio,Summer,Report 8944: Mini-bike rider has afternoon encounter near Fulton,40.46339,-82.82576,6/20/1978,8944,Class A,dpjn5q0h7f,83,72.3,60.1,61.1,69.1,43.6,0.5,0,0,,1017.5,Becoming cloudy in the afternoon.,Partially cloudy,,7.9,173.5,12.6
Morrow County,Ohio,Summer,Report 9537: Two Motorists Have An Early Evening Sighting North of Mt. Gilead,40.5896,-82.82214,8/15/2002,9537,Class A,dpjngm4g83,84.2,76.3,70,70.8,84.5,63.6,0.25,0.169,100,['rain'],1017.2,Partly cloudy throughout the day with early morning rain.,"Rain, Partially cloudy",,6.7,198.2,16
Morrow County,Ohio,Winter,Report 10863: Two young men have a sighting while tending a campfire near Cardington.,40.50945,-82.87663,1/13/2005,10863,Class A,dpjn6ne0ds,62.6,53.5,33.5,47,79.7,61.1,0.11,0.704,100,"['rain', 'snow']",1006,Partly cloudy throughout the day with rain or snow.,"Snow, Rain, Partially cloudy",,8.1,201.8,25.6
Morrow County,Ohio,Winter,,,,,40580,Class B,,,,,,,,,,,,,,,,,,
Muskingum County,Ohio,Summer,"Report 6722: Woman observes a sasquatch behind her fence near Zanesville, Ohio.",39.90416,-81.98721,7/26/2003,6722,Class A,dpjen26dxd,84.8,72.4,57.9,63.3,75.5,7.2,0.92,0.011,100,['rain'],1023.3,Clear conditions throughout the day with afternoon rain.,Rain,,6,212.3,11.8
Muskingum County,Ohio,Fall,Report 50393: Two deer hunters experience a likely week-long encounter near Nashport,40.01209,-82.13298,12/1/2015,50393,Class B,dpjee5bx6f,59.6,51.2,45.2,49.3,93.3,92.8,0.69,0.293,100,['rain'],1012.8,Cloudy skies throughout the day with a chance of rain throughout the day.,"Rain, Overcast",,5.5,182.7,10.4
Noble County,Ohio,Winter,Report 374: Two women driving to work are surprised to see a very large hair covered biped running along the side of their car.,39.88653,-81.27132,2/1/1977,374,Class A,dpn4yth5bu,18.8,13.5,10.1,4,65.3,71.9,0.42,0,0,,1021.4,Partly cloudy throughout the day.,Partially cloudy,,9.9,248.1,16.2
Noble County,Ohio,Summer,Report 12597: Night encounter near rural home outside Crooked Tree,39.64081,-81.47081,6/19/1982,12597,Class B,dpn1d06u2w,73.7,65.3,54.4,58.9,80.7,76.8,0.94,0.039,100,['rain'],1009.1,Partly cloudy throughout the day with late afternoon rain.,"Rain, Partially cloudy",,3.6,256.2,11.9
Noble County,Ohio,Summer,Report 4962: Hunter states that vocalizations heard near Batesville are identical to recordings on BFRO site,39.93154,-81.28671,8/1/1988,4962,Class B,dpn5nm2f46,92.4,78.3,65.7,67.9,74,52.2,0.62,0,0,,1019,Partly cloudy throughout the day.,Partially cloudy,,4.5,185.5,7.3
Perry County,Ohio,Spring,Report 6313: A family witness's a hairy humanlike face in the cars headlights while pulled off the side of the road,39.64193,-82.1013,5/11/2003,6313,Class A,dpj9e8xdvp,73.3,67.1,57.6,57,71.8,70.7,0.35,0.059,100,['rain'],1002.7,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,9.2,232.4,26.1
Perry County,Ohio,Fall,Report 67875: Sighting by dog walker and more recent incident on Stone Church Trail (Wayne NF) NW of Shawnee,39.63255,-82.26463,2/15/2020,67875,Class A,dpj92nbsr4,37.9,25.4,11.3,12.9,61.9,10.6,0.75,0,0,,1029,Clear conditions throughout the day.,Clear,6,9.9,179.3,12.5
Perry County,Ohio,Fall,Report 67239: Cabin renters have sighting outside Logan in Wayne National Forest,39.59607,-82.35291,10/31/2020,67239,Class A,dpj3q00ry4,54.3,39.5,26.9,30.4,72.5,2.6,0.5,0.01,100,"['rain', 'snow']",1027.7,Clear conditions throughout the day with rain or snow.,"Snow, Rain",6,9.7,133.2,7.3
Pike County,Ohio,Spring,Report 5977: A brief encounter with a light colored hair covered creature,39.10611,-83.0363,5/1/2000,5977,Class A,dnuyqrnc9g,71.7,59,48.3,46.9,66.3,33.3,0.92,,0,,1015.2,Becoming cloudy in the afternoon.,Partially cloudy,,8.6,223.6,25.3
Pike County,Ohio,Summer,Report 59396: Daylight sighting 20 miles southeast of Chillicothe,39.0895,-82.8342,6/1/2013,59396,Class A,dnvn7h1bz4,84.1,74.8,66.3,65.8,75.4,38.7,0.76,0.122,100,['rain'],1012.5,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,9.2,215.3,12.6
Pike County,Ohio,Winter,Report 43407: Possible daytime road crossing on SR 32 near Jasper,39.05922,-83.07492,12/24/2013,43407,Class B,dnuyjwd8qn,27.6,20.1,14.5,12.2,71.4,47.1,0.74,0,0,,1034.4,Partly cloudy throughout the day.,Partially cloudy,,9.2,291.1,13.5
Portage County,Ohio,Fall,Report 4968: Tracks found along soybean field near Edinburgh,41.10715,-81.1414,11/1/1970,4968,Class B,dpq3ce6ds2,58.8,49.1,39.8,43.8,82.4,91.3,0.09,,0,,1022.8,Cloudy skies throughout the day.,Overcast,,6,300.5,9.2
Portage County,Ohio,Summer,"Report 4966: Large footprints, area of matted grass and sounds of bipedal footsteps noted along shores of Aurora Lake",41.31405,-81.38112,8/1/1976,4966,Class B,dpq5h0upf3,71.4,65.4,59.3,53.6,67.2,42.6,0.2,0,0,,1015.2,Partly cloudy throughout the day.,Partially cloudy,,18,0.1,15.5
Portage County,Ohio,Summer,Report 4969: Silhouette seen protruding above brushline near Mogadore Reservoir.,41.06499,-81.3741,7/31/1983,4969,Class B,dpq1s79hyh,82,74.8,72,68.5,80.9,89.4,0.73,1.507,100,['rain'],1018.2,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,3.7,193.8,16.6
Portage County,Ohio,Spring,Report 12736: Student hears vocalization near the Cuyahoga River,41.15845,-81.33134,4/16/1986,12736,Class B,dpq4jk8m67,41.2,37.1,31.6,32.5,83.5,96,0.24,0.119,100,"['rain', 'snow']",1012.3,Cloudy skies throughout the day with rain or snow.,"Snow, Rain, Overcast",,7.3,312.3,13.7
Portage County,Ohio,Summer,Report 40040: Man recalls possible sighting while driving at night next to the Ravenna Arsenal,41.18518,-81.03764,7/15/1986,40040,Class B,dpq67cw1n4,80.5,68.7,54.6,58.4,72.1,17.1,0.3,0,0,,1020.7,Clear conditions throughout the day.,Clear,,15.9,89,8.1
Portage County,Ohio,Summer,Report 7832: A man has heard similar cries in the night for over 15 years that were noted in another BFRO report from the same location,41.16187,-81.37181,7/1/1987,7832,Class B,dpq4hm6c72,68.8,66.6,63.7,65.4,96.3,100,0.18,0.753,100,['rain'],1017.4,Cloudy skies throughout the day with a chance of rain throughout the day.,"Rain, Overcast",,3.3,108.8,11
Portage County,Ohio,Winter,Report 28820: Man recounts sighting from his teens near Edinburg,41.15384,-81.1124,2/12/1994,28820,Class A,dpq645zf2p,36.6,27.8,17.9,22.9,82.2,87.1,0.07,0.017,100,"['rain', 'snow']",1021.4,Partly cloudy throughout the day with rain or snow.,"Snow, Rain, Partially cloudy",,8.7,116.9,13.9
Portage County,Ohio,Fall,Report 5259: While driving to a job a man witness's an unknown eight foot tall biped cross the road,41.2599,-81.1455,10/1/1995,5259,Class B,dpq69rpskf,77.9,65,54.4,55.2,72.1,26.1,0.25,0,0,,1015.2,Becoming cloudy in the afternoon.,Partially cloudy,,9.6,190.5,19.7
Portage County,Ohio,Spring,Report 4967: Loud vocalizations and other noises heard late at night near railroad tracks.,41.17646,-81.32425,4/15/1997,4967,Class B,dpq4jrvqr8,56.3,46.6,35.6,27.3,47.6,46.9,0.27,0,0,,1025.1,Partly cloudy throughout the day.,Partially cloudy,,11.5,201.6,12.3
Portage County,Ohio,Summer,Report 982: Tracks found in West Branch State Park,41.13021,-81.11578,8/15/1999,982,Class B,dpq3fpt2c6,73.9,65.2,56.2,57,76.9,49.2,0.14,0,0,,1020.5,Partly cloudy throughout the day.,Partially cloudy,,10.8,12.3,11.4
Portage County,Ohio,Summer,Report 359: Daylight sighting by motorcyclist near Atwater,40.98596,-81.11642,8/1/2000,359,Class A,dpq34jkbd2,80.6,73.4,67.6,66.3,79.9,73.3,0.05,0.041,100,['rain'],1014.3,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,6.6,212.9,13.9
Portage County,Ohio,Fall,"Report 7224: Ongoing Encounters with ""Fang"" on old family land",41.13356,-81.17155,10/10/2003,7224,Class A,dpq60bhsmg,72,64.4,57.9,55.9,75,92.5,0.5,0.037,100,['rain'],1020,Cloudy skies throughout the day with a chance of rain throughout the day.,"Rain, Overcast",,7.8,93.9,7.6
Portage County,Ohio,Fall,Report 5406: A family is hearing howling behind their home identical to the howls on the BFRO website,41.3235,-81.22745,11/2/2003,5406,Class B,dpq5pdeyz4,72.9,63.9,54.4,57.7,80.7,82.3,0.28,0,0,,1021.9,Partly cloudy throughout the day.,Partially cloudy,,6.9,204.8,14.1
Portage County,Ohio,Summer,Report 23980: Woman recounts possible night time encounter near Mogadore,41.05931,-81.3654,6/11/2008,23980,Class B,dpq1s6xebf,82.8,72.1,58.7,56.9,61.4,17.3,0.26,0,0,,1019.5,Clear conditions throughout the day.,Clear,,9.9,231.1,8
Portage County,Ohio,Spring,,,,,39037,Class B,,,,,,,,,,,,,,,,,,
Portage County,Ohio,Summer,Report 31000: Possible night time encounter while fishing near Atwater,41.13183,-81.11617,6/17/2009,31000,Class B,dpq3fpv420,73.9,67.4,64.2,63.6,87.6,90.5,0.83,1.421,100,['rain'],1011.5,Cloudy skies throughout the day with a chance of rain throughout the day.,"Rain, Overcast",,6.6,156,11.5
Portage County,Ohio,Winter,,,,,28730,Class B,,,,,,,,,,,,,,,,,,
Portage County,Ohio,Summer,Report 31246: Possible nightime encounter while fishing at Mogadore Reservoir,41.06194,-81.36305,8/17/2011,31246,Class B,dpq1se15ps,82.3,69.4,54.7,54.4,62.3,8.5,0.63,0,0,,1019.6,Clear conditions throughout the day.,Clear,,9.9,218.5,9.6
Preble County,Ohio,Fall,Report 4972: Vocalizations heard by fisherman on Twin Creek,39.64146,-84.48506,9/1/1978,4972,Class B,dp5ct2xb5r,76,65,53.1,55,73,35.3,0.97,0.333,100,['rain'],1022.4,Partly cloudy throughout the day with morning rain.,"Rain, Partially cloudy",,8.2,71.8,7.3
Preble County,Ohio,Fall,Report 40315: Possible encounter and print find while deer hunting near Camden,39.65361,-84.66399,11/15/2012,40315,Class B,dp5c96tx40,46.8,33.8,23.1,27.7,80,0,0.06,0,0,,1028.5,Clear conditions throughout the day.,Clear,,7.4,21.6,4.7
Preble County,Ohio,Spring,"Report 45280: Family going fishing find a large, strange footprint in a sandbar near Gratis",39.65625,-84.51192,6/7/2014,45280,Class B,dp5csghq3s,80.9,69,54.6,51.5,57.7,3.6,0.32,0,0,,1015,Clear conditions throughout the day.,Clear,,9.8,135.9,9.5
Preble County,Ohio,Summer,,,,,58086,Class B,,,,,,,,,,,,,,,,,,
Richland County,Ohio,Winter,Report 7425: A Teenager and His Dog Encounter an Ape-like Creature While Retrieving Their Trap Lines,40.92276,-82.44401,11/1/1958,7425,Class A,dpm2gcy077,80.9,69,54.6,51.5,57.7,3.6,0.32,0,0,,1015,Clear conditions throughout the day.,Clear,,9.8,135.9,9.5
Richland County,Ohio,Summer,Report 4974: Vocalizations heard near Clearfork Reservoir,40.74705,-82.64864,7/1/1996,4974,Class B,dpjpz3c0g0,83.9,76.2,66.8,63.2,65.1,30,0.52,,0,,1014.4,Partly cloudy throughout the day.,Partially cloudy,,9.9,331.4,15
Richland County,Ohio,Fall,Report 4973: Tracks and vocalizations lead to sighting by trappers in Bellville area,40.61236,-82.48699,9/1/1998,4973,Class A,dpjr4cqb1u,79.1,64.2,54.4,53.6,71.4,28.7,0.34,0,0,,1014.4,Becoming cloudy in the afternoon.,Partially cloudy,,9.9,221.1,7.7
Ross County,Ohio,Fall,Report 16489: Camper describes trees shaken and possible encounter near Waverly,39.10495,-82.79665,9/7/2002,16489,Class B,dnvn7yv6f5,93.3,74.3,55.5,59.3,65.7,0,0.02,,0,,1021.5,Clear conditions throughout the day.,Clear,,9.8,139.1,6.9
Ross County,Ohio,Winter,Report 7932: A young hunter witness's a seven foot tall creature less than 25 feet away,39.20212,-83.13585,12/1/2002,7932,Class A,dnuzh0w2fk,30.3,25.7,17.7,15.2,64.9,48.9,0.91,,0,,1020.9,Partly cloudy throughout the day.,Partially cloudy,,9.9,250,21
Licking County,Ohio,Summer,Report 4953: Family has sighting on farm along Headleys Mill Road,40.00915,-82.67252,8/1/1968,4953,Class A,dpj5werwnw,29,26,23.1,21.6,83.4,99.6,0.56,0.007,100,['snow'],1021.1,Cloudy skies throughout the day with early morning snow.,"Snow, Overcast",,6.6,225.8,16.7
Lawrence County,Ohio,Summer,"Report 7940: Bother and sister are followed by a brown, hairy creature walking on two legs",38.54852,-82.66616,8/25/1980,7940,Class A,dnv5qcs36u,84.8,73.6,65,67.5,83.7,46.3,0.5,0,0,,1020.6,Clearing in the afternoon.,Partially cloudy,,6.4,98.7,5.8
Lake County,Ohio,Summer,Report 4731: A woman sitting on a bench in a park sees a large hairy creature behind a four foot wall staring at her,41.7164,-81.1438,7/1/1981,4731,Class A,dpqm3d0zsk,81.4,74.7,67.9,61.7,65.9,70.6,0,0,0,,1020.9,Partly cloudy throughout the day.,Partially cloudy,,6.5,109,17.2
Knox County,Ohio,Winter,"Report 58853: Couple is startled by a quick ""road crosser"" at dark just outside of Howard",40.36462,-82.24197,1/5/2018,58853,Class B,dpjt8s1hzn,11,5.4,-1.3,-1.7,72.2,54.9,0.62,0,0,,1026.4,Partly cloudy throughout the day.,Partially cloudy,2,9.2,284.9,13.2
Jefferson County,Ohio,Winter,Report 6848: Human-like footprints are found around a garage heading back into a remote hollow,40.34042,-80.64211,12/1/1978,6848,Class B,dpntkzwpyx,46,31.8,19.1,20.8,66.8,17.6,0.05,0,0,,1018,Clear conditions throughout the day.,Clear,,10.9,186.5,9.6
Huron County,Ohio,Summer,"Report 11248: A series of sound reports, footprint finds and a sighting from a family living near New London.",41.0672,-82.41861,8/1/1999,11248,Class B,dpm3ss09g0,83.4,75.2,68.1,67.1,77.9,45.8,0.65,0,0,,1013.5,Clearing in the afternoon.,Partially cloudy,,7.9,358.2,11.6
Holmes County,Ohio,Summer,"Report 3381: A group of canoers see a large, black creature along the river bank",40.59935,-82.23988,7/3/1997,3381,Class A,dpjwbwfsrg,76.5,70.7,63.8,60.9,72,41.9,0.96,0.098,100,['rain'],1005.9,Partly cloudy throughout the day with early morning rain.,"Rain, Partially cloudy",,10.4,260.4,18.4
Hocking County,Ohio,Spring,"Report 8394: Family has encounters with a large, hair covered creature just on the edge of Wayne National Forest",39.48219,-82.32669,5/1/1979,8394,Class A,dpj2wee83j,58.3,47.2,35.2,33.8,62.1,10.4,0.16,0,0,,1023.7,Clear conditions throughout the day.,Clear,,13.3,6.7,8.8
Harrison County,Ohio,Spring,Report 4950: Sighting by camper in Harrison County near Tappan Lake,40.33345,-81.26559,5/30/1998,4950,Class B,dpnjqy2pqs,82.2,72.4,61.9,63.9,76.7,57.7,0.16,0.067,100,['rain'],1015.2,Partly cloudy throughout the day with early morning rain.,"Rain, Partially cloudy",,6.6,208.6,9
Hardin County,Ohio,Summer,"Report 4760: Young man see's a ""huge hairy ape looking thing"" under a bridge on the Scioto River",40.6445,-83.6118,7/18/2002,4760,Class A,dphx1r5erg,88.7,78.5,70.4,69.6,75.8,13.8,0.3,0.039,100,['rain'],1014.2,Clear conditions throughout the day with late afternoon rain.,Rain,,4,246.7,11.2
Hancock County,Ohio,Summer,Report 4458: Father and son hear screams identical to the one on the BFRO website.,41.14896,-83.43667,6/1/1994,4458,Class B,dpkdj6gq0d,72.5,63.6,53,46,56.4,24.3,0.75,0,0,,1014.3,Partly cloudy throughout the day.,Partially cloudy,,13.5,295.4,22.9
Hamilton County,Ohio,Fall,Report 57013: Motorist has possible daytime sighting near Loveland on the Little Miami River,39.26903,-84.25986,10/12/2013,57013,Class B,dnup6seydv,77.7,60.5,47.6,53.9,81.7,1.7,0.27,0.003,100,['rain'],1018.7,Clear conditions throughout the day with morning rain.,Rain,,7.7,20.6,4.1
Greene County,Ohio,Spring,Report 31100: Possible stalking of ROTC Unit at Indian Mound Reserve,39.745,-83.825,5/7/1988,31100,Class B,dph6he27ru,79.1,63.4,42.3,34.9,39.2,47.9,0.7,0,0,,1017.9,Becoming cloudy in the afternoon.,Partially cloudy,,13.5,187.1,6.6
Geauga County,Ohio,Summer,,,,,20259,Class B,,,,,,,,,,,,,,,,,,
Gallia County,Ohio,Winter,Report 63178: A couple is escorted out of the forest after finding a possible nesting area near Rio Grande,38.88059,-82.43382,1/17/1972,63178,Class B,dnvmhjvxbg,41.1,26.1,8,1,34.9,32.5,0.04,,0,,1028.9,Partly cloudy throughout the day.,Partially cloudy,,12.4,189.8,13.9
Gallia County,Ohio,Summer,"Report 3686: Another nighttime incident near Hoadley, off Hoadley Road (Wayne Nat. For.)",38.79833,-82.54968,5/25/1998,3686,Class A,dnvk9x10th,74.9,69.5,64.1,64.2,84.2,32.8,0,0.012,100,['rain'],1013.1,Partly cloudy throughout the day with early morning rain.,"Rain, Partially cloudy",,6.7,246.3,9.2
Gallia County,Ohio,Summer,"Report 3767: Late night sighting in Wayne National Forest, off Hoadley Road",38.79381,-82.55177,9/3/1998,3767,Class A,dnvk9qpwk6,86.1,72.1,57.8,56.3,63.2,14.2,0.41,0,0,,1009.3,Clear conditions throughout the day.,Clear,,7.9,9.6,5.8
Gallia County,Ohio,Winter,Report 28912: Motorist traveling near the Ohio River has bigfoot sighting outside Chesire,38.9264,-82.14285,2/22/2011,28912,Class A,dnvt6y36sy,34.7,31.7,29.5,28.6,88.1,100,0.65,0.013,100,"['rain', 'snow']",1017.9,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,"Snow, Rain, Overcast",,7.7,344.2,9.2
Gallia County,Ohio,Winter,Report 56586: Motorist sighting at night a few miles north of Rio Grande,38.965,-82.905,1/21/2017,56586,Class A,dnvj9mq7t6,62.3,51.3,42.6,47.8,88.6,37.8,0.8,0,0,,,Becoming cloudy in the afternoon.,Partially cloudy,4,8.2,87.2,5.7
Geauga County,Ohio,Winter,"Report 8836: Brothers have sighting in their backyard during the ""Blizzard of 1978.""",41.44442,-81.20629,2/5/1978,8836,Class A,dpq7b0erhr,21,15.1,10.2,9.7,79.3,98.8,0.93,0.083,100,['snow'],1024.5,Cloudy skies throughout the day with snow.,"Snow, Overcast",,3.7,349.2,13
Geauga County,Ohio,Summer,Report 3301: Daytime sighting in a wooded area a few miles east of Interstate 271,41.47349,-81.3726,8/15/1980,3301,Class A,dpq5uq428f,73.5,70.2,65.5,62.7,77.5,95.6,0.16,0.092,100,['rain'],1014.8,Cloudy skies throughout the day with rain clearing later.,"Rain, Overcast",,10.6,343.1,11.2
Geauga County,Ohio,Spring,Report 3248: Bainbridge (Chagrin Falls) Ohio resident reports multiple sightings,41.39803,-81.33974,10/26/2001,3248,Class A,dpq5t061n8,44,39.3,34.8,29.3,68.4,99.8,0.32,0.189,100,"['rain', 'snow']",1011.7,Cloudy skies throughout the day with rain or snow.,"Snow, Rain, Overcast",,8.7,253,26
Geauga County,Ohio,Summer,Report 4762: Woman has two evening encounters twenty years apart,41.5325,-81.1351,8/4/2002,4762,Class A,dpqk38z0r5,90.1,77.5,63,65.6,69.3,58.3,0.87,0.006,100,['rain'],1021.1,Partly cloudy throughout the day with late afternoon rain.,"Rain, Partially cloudy",,8.8,233.4,8.1
Geauga County,Ohio,Summer,Report 39158: Recollection of a daylight sighting while riding mini-bikes near Chardon,41.5621,-81.22853,7/1/2004,39158,Class A,dpqhrw5hy0,81.4,73.6,63,58.5,60.8,20.1,0.47,0,0,,1019.4,Partly cloudy throughout the day.,Partially cloudy,,8.4,254.1,13.9
